,0
Job_URL,https://uk.indeed.com/rc/clk?jk=58d9ca71008f05a9&fccid=10b9f0a386e74039&vjs=3
ID,job_58d9ca71008f05a9
Job_Title,"new
Data Scientist"
Name_of_the_company,Ambassador Theatre Group
Location,London
